Mut_freq	Plate	Amplicon	Cell_type	Well	Plate_Well
					
0.0	AS-194	RN_RUNX1_c	nBCs	A13	AS-194_A13
0.00038402457757296467	AS-194	RN_RUNX1_g	nBCs	A13	AS-194_A13
0.010638297872340425	AS-194	RN_SRSF2	nBCs	A13	AS-194_A13
0.0	AS-194	RN_TET2a	nBCs	A13	AS-194_A13
0.005865102639296188	AS-194	RN_RUNX1_c	nBCs	B13	AS-194_B13
0.0	AS-194	RN_RUNX1_g	nBCs	B13	AS-194_B13
0.03731343283582089	AS-194	RN_SRSF2	nBCs	B13	AS-194_B13
0.0007974481658692185	AS-194	RN_TET2a	nBCs	B13	AS-194_B13
0.0	AS-194	RN_RUNX1_c	nBCs	B19	AS-194_B19
0.00966183574879227	AS-194	RN_RUNX1_g	nBCs	B19	AS-194_B19
0.014925373134328358	AS-194	RN_SRSF2	nBCs	B19	AS-194_B19
0.0	AS-194	RN_TET2a	nBCs	B19	AS-194_B19
0.005405405405405406	AS-194	RN_RUNX1_c	nBCs	C9	AS-194_C9
0.0006709908297919928	AS-194	RN_RUNX1_g	nBCs	C9	AS-194_C9
0.003215434083601286	AS-194	RN_SRSF2	nBCs	C9	AS-194_C9
0.0472972972972973	AS-194	RN_TET2a	nBCs	C9	AS-194_C9
0.005235602094240838	AS-194	RN_RUNX1_c	nBCs	C12	AS-194_C12
0.0	AS-194	RN_RUNX1_g	nBCs	C12	AS-194_C12
0.023076923076923078	AS-194	RN_SRSF2	nBCs	C12	AS-194_C12
0.0	AS-194	RN_TET2a	nBCs	C12	AS-194_C12
0.00851063829787234	AS-194	RN_RUNX1_c	nBCs	C13	AS-194_C13
0.0019723865877712033	AS-194	RN_RUNX1_g	nBCs	C13	AS-194_C13
0.005319148936170213	AS-194	RN_SRSF2	nBCs	C13	AS-194_C13
0.015527950310559006	AS-194	RN_TET2a	nBCs	C13	AS-194_C13
0.0	AS-194	RN_RUNX1_c	nBCs	C18	AS-194_C18
0.0017050298380221654	AS-194	RN_RUNX1_g	nBCs	C18	AS-194_C18
0.04838709677419355	AS-194	RN_SRSF2	nBCs	C18	AS-194_C18
0.001343183344526528	AS-194	RN_TET2a	nBCs	C18	AS-194_C18
0.0008163265306122449	AS-194	RN_RUNX1_c	nBCs	D13	AS-194_D13
0.005338078291814947	AS-194	RN_RUNX1_g	nBCs	D13	AS-194_D13
0.00651890482398957	AS-194	RN_SRSF2	nBCs	D13	AS-194_D13
0.0003244646333549643	AS-194	RN_TET2a	nBCs	D13	AS-194_D13
0.0	AS-194	RN_RUNX1_c	nBCs	D16	AS-194_D16
0.0003672420124862284	AS-194	RN_RUNX1_g	nBCs	D16	AS-194_D16
0.03076923076923077	AS-194	RN_SRSF2	nBCs	D16	AS-194_D16
0.0	AS-194	RN_TET2a	nBCs	D16	AS-194_D16
0.008130081300813009	AS-194	RN_RUNX1_c	nBCs	D18	AS-194_D18
0.0008124796880077998	AS-194	RN_RUNX1_g	nBCs	D18	AS-194_D18
0.003799071338117349	AS-194	RN_SRSF2	nBCs	D18	AS-194_D18
0.013824884792626729	AS-194	RN_TET2a	nBCs	D18	AS-194_D18
0.002363488182559087	AS-194	RN_RUNX1_c	nBCs	E13	AS-194_E13
0.0019249278152069298	AS-194	RN_RUNX1_g	nBCs	E13	AS-194_E13
0.002090800477897252	AS-194	RN_SRSF2	nBCs	E13	AS-194_E13
0.00641025641025641	AS-194	RN_TET2a	nBCs	E13	AS-194_E13
0.003745318352059925	AS-194	RN_RUNX1_c	nBCs	E18	AS-194_E18
0.0038461538461538464	AS-194	RN_RUNX1_g	nBCs	E18	AS-194_E18
0.04950495049504951	AS-194	RN_SRSF2	nBCs	E18	AS-194_E18
0.001151742009789807	AS-194	RN_TET2a	nBCs	E18	AS-194_E18
0.024390243902439025	AS-194	RN_RUNX1_c	nBCs	E22	AS-194_E22
0.0	AS-194	RN_RUNX1_g	nBCs	E22	AS-194_E22
0.002688172043010753	AS-194	RN_SRSF2	nBCs	E22	AS-194_E22
0.25	AS-194	RN_TET2a	nBCs	E22	AS-194_E22
0.011811023622047244	AS-194	RN_RUNX1_c	nBCs	F6	AS-194_F6
0.0	AS-194	RN_RUNX1_g	nBCs	F6	AS-194_F6
0.03910614525139665	AS-194	RN_SRSF2	nBCs	F6	AS-194_F6
0.008620689655172414	AS-194	RN_TET2a	nBCs	F6	AS-194_F6
0.0005700171005130154	AS-194	RN_RUNX1_c	nBCs	F8	AS-194_F8
0.0019966722129783694	AS-194	RN_RUNX1_g	nBCs	F8	AS-194_F8
0.06756756756756757	AS-194	RN_SRSF2	nBCs	F8	AS-194_F8
0.004830917874396135	AS-194	RN_TET2a	nBCs	F8	AS-194_F8
0.0050335570469798654	AS-194	RN_RUNX1_c	nBCs	F12	AS-194_F12
0.0	AS-194	RN_RUNX1_g	nBCs	F12	AS-194_F12
0.022222222222222223	AS-194	RN_SRSF2	nBCs	F12	AS-194_F12
0.05263157894736842	AS-194	RN_TET2a	nBCs	F12	AS-194_F12
0.001095290251916758	AS-194	RN_RUNX1_c	nBCs	F13	AS-194_F13
0.003067484662576687	AS-194	RN_RUNX1_g	nBCs	F13	AS-194_F13
0.03642384105960265	AS-194	RN_SRSF2	nBCs	F13	AS-194_F13
0.035398230088495575	AS-194	RN_TET2a	nBCs	F13	AS-194_F13
0.00267379679144385	AS-194	RN_RUNX1_c	nBCs	F16	AS-194_F16
0.003968253968253968	AS-194	RN_RUNX1_g	nBCs	F16	AS-194_F16
0.7838345864661654	AS-194	RN_SRSF2	nBCs	F16	AS-194_F16
0.0	AS-194	RN_TET2a	nBCs	F16	AS-194_F16
0.0034129692832764505	AS-194	RN_RUNX1_c	nBCs	F17	AS-194_F17
0.0051813471502590676	AS-194	RN_RUNX1_g	nBCs	F17	AS-194_F17
0.003262445625906235	AS-194	RN_SRSF2	nBCs	F17	AS-194_F17
0.01744186046511628	AS-194	RN_TET2a	nBCs	F17	AS-194_F17
0.0031545741324921135	AS-194	RN_RUNX1_c	nBCs	F18	AS-194_F18
0.0	AS-194	RN_RUNX1_g	nBCs	F18	AS-194_F18
0.03937007874015748	AS-194	RN_SRSF2	nBCs	F18	AS-194_F18
0.0	AS-194	RN_TET2a	nBCs	F18	AS-194_F18
0.001597444089456869	AS-194	RN_RUNX1_c	nBCs	F19	AS-194_F19
0.010948905109489052	AS-194	RN_RUNX1_g	nBCs	F19	AS-194_F19
0.06321839080459771	AS-194	RN_SRSF2	nBCs	F19	AS-194_F19
0.09154929577464789	AS-194	RN_TET2a	nBCs	F19	AS-194_F19
