Amplicon	Letter	Number	MT	WT	Ratio
RN_RUNX1_c	A	1	0	0	0.0
RN_RUNX1_g	A	1	0	2	0.0
RN_SRSF2	A	1	0	1	0.0
RN_TET2a	A	1	2	2	0.49875311720698257
RN_TET2b_c	A	1	0	0	0.0
RN_TET2b_g	A	1	0	0	0.0
RN_RUNX1_c	A	10	0	3	0.0
RN_RUNX1_g	A	10	0	2	0.0
RN_SRSF2	A	10	1	2	0.33222591362126247
RN_TET2a	A	10	1	2	0.33222591362126247
RN_TET2b_c	A	10	0	0	0.0
RN_TET2b_g	A	10	0	0	0.0
RN_RUNX1_c	A	11	0	2	0.0
RN_RUNX1_g	A	11	0	2	0.0
RN_SRSF2	A	11	3	1	0.7481296758104738
RN_TET2a	A	11	0	1	0.0
RN_TET2b_c	A	11	0	0	0.0
RN_TET2b_g	A	11	0	0	0.0
RN_RUNX1_c	A	12	15	30	0.33325927571650743
RN_RUNX1_g	A	12	38	38	0.49993421918168657
RN_SRSF2	A	12	2	17	0.10520778537611783
RN_TET2a	A	12	5	10	0.3331112591605596
RN_TET2b_c	A	12	0	0	0.0
RN_TET2b_g	A	12	0	0	0.0
RN_RUNX1_c	A	13	0	28	0.0
RN_RUNX1_g	A	13	6	38	0.136332651670075
RN_SRSF2	A	13	6	19	0.23990403838464613
RN_TET2a	A	13	10	19	0.3447087211306446
RN_TET2b_c	A	13	0	0	0.0
RN_TET2b_g	A	13	0	2	0.0
RN_RUNX1_c	A	14	0	0	0.0
RN_RUNX1_g	A	14	0	0	0.0
RN_SRSF2	A	14	4	2	0.6655574043261232
RN_TET2a	A	14	0	0	0.0
RN_TET2b_c	A	14	0	0	0.0
RN_TET2b_g	A	14	0	0	0.0
RN_RUNX1_c	A	15	0	2	0.0
RN_RUNX1_g	A	15	0	1	0.0
RN_SRSF2	A	15	2	1	0.6644518272425249
RN_TET2a	A	15	0	2	0.0
RN_TET2b_c	A	15	0	0	0.0
RN_TET2b_g	A	15	0	0	0.0
RN_RUNX1_c	A	16	0	33	0.0
RN_RUNX1_g	A	16	3	26	0.10341261633919338
RN_SRSF2	A	16	10	6	0.6246096189881324
RN_TET2a	A	16	0	7	0.0
RN_TET2b_c	A	16	0	0	0.0
RN_TET2b_g	A	16	0	0	0.0
RN_RUNX1_c	A	17	21	21	0.4998809807188765
RN_RUNX1_g	A	17	17	25	0.4046655558200429
RN_SRSF2	A	17	17	4	0.8091385054735839
RN_TET2a	A	17	11	12	0.47805302042590175
RN_TET2b_c	A	17	0	0	0.0
RN_TET2b_g	A	17	0	0	0.0
RN_RUNX1_c	A	18	0	11	0.0
RN_RUNX1_g	A	18	3	35	0.07892659826361484
RN_SRSF2	A	18	6	2	0.7490636704119851
RN_TET2a	A	18	3	21	0.12494793835901707
RN_TET2b_c	A	18	0	0	0.0
RN_TET2b_g	A	18	0	0	0.0
RN_RUNX1_c	A	19	7	28	0.19994287346472436
RN_RUNX1_g	A	19	19	17	0.5276312135517912
RN_SRSF2	A	19	17	9	0.6535947712418301
RN_TET2a	A	19	14	18	0.43736332396126215
RN_TET2b_c	A	19	0	0	0.0
RN_TET2b_g	A	19	0	1	0.0
RN_RUNX1_c	A	2	2	22	0.08329862557267805
RN_RUNX1_g	A	2	5	36	0.121921482565228
RN_SRSF2	A	2	2	14	0.12492192379762647
RN_TET2a	A	2	7	12	0.3682272488164124
RN_TET2b_c	A	2	0	0	0.0
RN_TET2b_g	A	2	0	0	0.0
RN_RUNX1_c	A	20	0	36	0.0
RN_RUNX1_g	A	20	10	178	0.05318866017765013
RN_SRSF2	A	20	12	12	0.4997917534360683
RN_TET2a	A	20	5	30	0.14281633818908884
RN_TET2b_c	A	20	0	0	0.0
RN_TET2b_g	A	20	0	0	0.0
RN_RUNX1_c	A	21	0	16	0.0
RN_RUNX1_g	A	21	1	11	0.08326394671107411
RN_SRSF2	A	21	4	1	0.7984031936127745
RN_TET2a	A	21	4	5	0.4439511653718091
RN_TET2b_c	A	21	0	0	0.0
RN_TET2b_g	A	21	0	0	0.0
RN_RUNX1_c	A	22	1	13	0.07137758743754462
RN_RUNX1_g	A	22	2	24	0.07689350249903883
RN_SRSF2	A	22	1	3	0.24937655860349128
RN_TET2a	A	22	5	50	0.09089256498818397
RN_TET2b_c	A	22	0	0	0.0
RN_TET2b_g	A	22	0	0	0.0
RN_RUNX1_c	A	23	1	4	0.1996007984031936
RN_RUNX1_g	A	23	354	18	0.9515873229214269
RN_SRSF2	A	23	39	53	0.423866970981415
RN_TET2a	A	23	7	39	0.15214083894805477
RN_TET2b_c	A	23	0	0	0.0
RN_TET2b_g	A	23	0	0	0.0
RN_RUNX1_c	A	24	0	0	0.0
RN_RUNX1_g	A	24	8	17	0.31987205117952816
RN_SRSF2	A	24	0	0	0.0
RN_TET2a	A	24	9	32	0.2194586686174104
RN_TET2b_c	A	24	0	0	0.0
RN_TET2b_g	A	24	0	0	0.0
RN_RUNX1_c	A	3	2	16	0.11104941699056078
RN_RUNX1_g	A	3	4	16	0.19990004997501248
RN_SRSF2	A	3	6	11	0.3527336860670194
RN_TET2a	A	3	4	18	0.1817355747387551
RN_TET2b_c	A	3	0	0	0.0
RN_TET2b_g	A	3	0	0	0.0
RN_RUNX1_c	A	4	4	22	0.15378700499807765
RN_RUNX1_g	A	4	8	30	0.2104709287029729
RN_SRSF2	A	4	7	12	0.3682272488164124
RN_TET2a	A	4	2	21	0.0869187309865276
RN_TET2b_c	A	4	0	0	0.0
RN_TET2b_g	A	4	0	0	0.0
RN_RUNX1_c	A	5	0	0	0.0
RN_RUNX1_g	A	5	1	0	0.9900990099009901
RN_SRSF2	A	5	5	5	0.4995004995004995
