	FSC-A	FSC-W	FSC-H	SSC-A	SSC-W	SSC-H	CD34-PE	Lin-PE-Cy5	CD123-PE-Cy7	CD90-BV421	Zombie	CD45RA-FITC	IL1RAP-APC	CD38-APC-cy7	Time	Well	Plate	Plate_Well	CD34_pos	CD38_pos	CD38_neg	IL1RAP_pos	IL1RAP_neg	CD45RA_pos	CD45RA_neg	CD123_pos	CD123_neg	CD90_pos	CD90_neg	lsc	hsc	mpp	lmpp	cmp	gmp	gmp2	mep	unassigned	celltype	Colour	mds_sc1	mds_sc2
0	121773.59	93347.47	85493.0	39123.03	79198.336	32374.0	898.9418037807205	-159.27364950639594	2313.1981081136246	-71.66209487076796	1393.0581061802827	170.9869964617654	-625.2141586151712	8438.503495663519	1706.8	A2	not_seq	not_seq_A2	True	True	False	False	True	False	True	True	False	False	True	False	False	False	False	True	False	False	False	False	CMP	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	False	False
1	117292.5	97890.88	78525.0	36411.24	83777.94	28483.0	437.99091571460036	711.7036260074947	186.60183675147164	461.3642089715936	2263.2525515967723	3440.2742819404443	-283.55783365656725	2044.2809217260856	1967.3	A3	not_seq	not_seq_A3	True	False	True	False	True	True	False	False	True	False	True	False	False	False	True	False	False	False	False	True	unassigned	(0.8087954113106306, 0.5634700050056693, 0.19502642696727285)	False	False
2	145303.2	108424.414	87827.0	102507.75	97748.31	68727.0	1301.4654133074123	242.58279093579864	138.68453759058582	545.4378878037951	2930.55952872414	5479.338927492905	135.64237486614326	3302.0400269153765	2181.9	A4	not_seq	not_seq_A4	True	True	False	False	True	True	False	False	True	True	False	False	False	False	False	False	False	True	False	False	GMP2	(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)	False	False
3	126592.195	96132.67	86301.0	76951.5	79570.42	63379.0	424.9170088778114	721.7070523169962	331.09630896680954	146.52968589472226	3350.3019084722296	11808.003320212392	-396.6785094798612	1876.9814748983044	2477.2	A5	not_seq	not_seq_A5	True	False	True	False	True	True	False	True	False	False	True	False	False	False	True	False	False	False	False	False	MDS_SC	(0.19783576093349015, 0.6955516966063037, 0.3995301037444499)	False	True
4	126399.59	93120.55	88957.0	51885.93	79909.67	42553.0	1732.4942226076814	675.3344764292235	151.8043387235135	393.1747480305194	2340.140656083899	722.5097006179457	-61.025429503781254	2280.3059495515577	2730.5	A6	not_seq	not_seq_A6	True	False	True	False	True	False	True	False	True	False	True	False	False	True	False	False	False	False	False	False	MPP	(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)	False	False
5	150501.6	101511.59	97164.0	50210.31	89185.36	36896.0	1923.8815955278299	198.05066007965104	348.4849549516712	328.82094233854184	2887.0031555791056	9848.66763175538	-596.495779965551	4628.604712119408	2933.1	A7	not_seq	not_seq_A7	True	True	False	False	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	False	GMP	(0.22335772267769388, 0.6565792317435265, 0.8171355503265633)	False	False
6	144702.89	97688.914	97076.0	41150.13	89195.13	30235.0	521.0527249968378	530.5637496670936	473.6984209619802	-4.902038366730409	4482.2894457744005	8693.765526013534	-214.84831817005067	5608.271819206965	3116.3	A8	not_seq	not_seq_A8	True	True	False	False	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	False	GMP	(0.22335772267769388, 0.6565792317435265, 0.8171355503265633)	False	False
7	141162.3	104480.34	88545.0	35428.14	89490.03	25945.0	763.8193941046507	214.94100189375774	198.2997320271962	348.64169151890894	2271.598991664065	725.8914214765467	-51.08257778812987	903.3666567589104	3389.6	A9	not_seq	not_seq_A9	True	False	True	False	True	False	True	False	True	False	True	False	False	True	False	False	False	False	False	False	MPP	(0.21044753832183283, 0.6773105080456748, 0.6433941168468681)	False	False
8	185973.3	119665.66	101850.0	77309.94	91849.17	55162.0	1156.3759906119267	505.5339161732179	27.78765526850475	1081.4793939899544	3210.4875741012456	545.4658665364318	-821.1141963604201	7816.134766337372	3730.6	A10	not_seq	not_seq_A10	True	True	False	False	True	False	True	False	True	True	False	False	False	False	False	False	False	False	True	False	MEP	(0.6423044349219739, 0.5497680051256467, 0.9582651433656727)	False	False
9	109113.3	93188.89	76735.0	35890.11	80405.23	29253.0	683.0299519123698	484.3329364790485	155.43701597116205	290.12249825121705	2182.68439034395	6523.998453158257	-191.9843502936613	5458.932607395	3926.4	A11	not_seq	not_seq_A11	True	True	False	False	True	True	False	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP2	(0.5920891529639701, 0.6418467016378244, 0.1935069134991043)	False	False
